D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid,seed,iteration
0.712502,0.3,0.851108,3.0,0.0,908.022538,0.0,0.01475,0.011778,0.495573,0.160806,33.87514,39.0,2.081806649005634,0.0,7,1
0.645811,0.748875,1.229037,3.0,0.0,816.237062,0.0,0.01475,0.012803,0.4035,0.206142,27.600728,39.0,0.9573885962103794,0.0,7,2
0.736958,0.952853,0.943251,4.0,0.0,731.562664,0.0,0.0135,0.011159,0.213511,0.200855,28.228832,39.0,0.06301062955863683,0.0,7,2
0.763734,1.05,1.4,6.0,0.0,528.369459,0.0,0.011,0.009655,0.360727,0.272066,21.12897,39.0,0.32588048488234495,0.0,7,2
0.800000,0.523435,1.334708,7.0,0.0,516.245956,0.0,0.00975,0.009088,0.616359,0.265721,21.62446,39.0,1.3195720323196136,0.0,7,2
0.672285,0.487006,0.5,2.0,0.0,1423.69994,0.0,0.016,0.013153,0.14498,0.080526,50.115357,39.0,1.0854214430446736,0.0,7,2
0.500000,0.825025,1.4,4.0,0.0,1216.42765,0.0,0.0135,0.013229,0.491288,0.174468,31.846001,39.0,1.81592039800995,0.0,7,2
0.500992,0.616733,1.312841,2.0,0.0,1318.687104,0.0,0.016,0.016282,0.541556,0.156365,34.591627,39.0,2.480729070322312,0.0,7,2
0.571122,0.469954,0.758879,5.0,0.0,1369.034742,0.0,0.01225,0.011698,0.334311,0.120468,40.939483,39.0,1.824832435136302,0.0,7,2
0.505819,0.982459,0.980101,7.0,0.0,1394.673239,0.0,0.00975,0.011747,0.266346,0.142298,36.937425,39.0,1.0417488730383357,0.0,7,2
0.603515,1.042667,0.764888,5.0,0.0,1210.108337,0.0,0.01225,0.011544,0.154299,0.135131,38.23937,39.0,0.1418475405347403,0.0,7,2
0.800000,0.913782,0.602813,3.0,119.368087,898.300811,119.368087,0.01475,0.011327,0.09777,0.138371,37.627936,39.0,0.0,1.0,7,2
0.725812,0.449494,1.302431,2.0,0.0,693.305986,0.0,0.016,0.013208,0.591732,0.217307,26.347997,39.0,1.7230231883924587,0.0,7,2
0.739361,0.82865,1.374275,5.0,0.0,580.644155,0.0,0.01225,0.010278,0.43016,0.255574,22.478399,39.0,0.683113305735325,0.0,7,2
0.772380,0.699067,0.724159,6.0,0.0,781.140873,0.0,0.011,0.009748,0.200005,0.176058,31.590684,39.0,0.1360176759931386,0.0,7,2
0.573619,0.960645,1.292953,3.0,0.0,949.518441,0.0,0.01475,0.013475,0.383296,0.198589,28.518429,39.0,0.9300968331579295,0.0,7,2
0.553583,1.05,1.003097,7.0,0.0,1156.810783,0.0,0.00975,0.011253,0.252493,0.163096,33.53077,39.0,0.6816894134880364,0.0,7,2
0.643280,0.449494,1.14454,5.0,0.0,882.584636,0.0,0.01225,0.011065,0.571755,0.18922,29.727271,39.0,2.021641475531128,0.0,7,2
0.563859,0.518732,1.01919,2.0,0.0,1255.743023,0.0,0.016,0.015428,0.405414,0.141504,37.074071,39.0,1.865035617367707,0.0,7,2
0.536250,0.710173,1.004764,3.0,0.0,1320.384826,0.0,0.01475,0.014214,0.326845,0.141512,37.073733,39.0,1.3096627847815026,0.0,7,2
0.579595,0.901376,0.869415,6.0,0.0,1178.787546,0.0,0.011,0.011313,0.227316,0.149208,35.77328,39.0,0.5511512809200687,0.0,7,2
0.721159,1.05,1.143329,4.0,0.0,665.200901,0.0,0.0135,0.011257,0.269059,0.228486,25.117864,39.0,0.17757324299957108,0.0,7,2
0.531689,1.0363,0.719246,7.0,0.0,1558.917113,0.0,0.00975,0.011358,0.154742,0.108571,43.398996,39.0,0.679629879232013,0.0,7,2
0.769836,0.895332,0.868256,3.0,120.259118,728.049732,120.259118,0.01475,0.011758,0.18864,0.192058,29.34662,39.0,0.0,1.0,7,2
0.553434,1.05,0.70849,5.0,0.0,1506.8222,0.0,0.01225,0.011989,0.138643,0.107349,43.664263,39.0,0.4111129428521062,0.0,7,2
0.730879,1.05,1.4,5.0,0.0,573.847892,0.0,0.01225,0.010327,0.366578,0.261695,21.96044,39.0,0.40078335466860276,0.0,7,2
0.782276,0.790316,0.625937,2.0,124.357128,928.093431,124.357128,0.016,0.012757,0.116686,0.136282,38.014613,39.0,0.0,1.0,7,2
0.779799,0.858028,1.055539,4.0,0.0,616.408484,0.0,0.0135,0.010853,0.272359,0.227986,25.168057,39.0,0.19463037204038855,0.0,7,2
