D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.581551,1.05,1.186275,4.0,158.634346,970.516586,256.53483,0.0135,0.012528,0.308164,0.19056,29.552181,39.0,0.6171494542401342,0.0
0.800000,0.810687,0.928878,2.0,124.583461,661.91916,132.858745,0.016,0.012941,0.218619,0.205002,27.726405,39.0,0.0664237422073932,0.0
0.657714,1.05,1.4,2.0,134.613609,672.898852,222.854329,0.016,0.013439,0.410361,0.247876,23.173164,39.0,0.655509206216011,0.0
0.800000,0.763626,0.668353,7.0,108.709745,764.142369,108.709745,0.00975,0.009293,0.163628,0.173327,32.008321,39.0,0.0,1.0
0.500000,0.848532,0.607859,3.0,170.98333,2107.087685,417.742045,0.01475,0.014268,0.129358,0.063763,55.163427,39.0,1.4431782421044759,0.0
0.800000,1.05,0.994699,7.0,113.140393,584.23752,113.140393,0.00975,0.009421,0.219264,0.234529,24.472484,39.0,0.0,1.0
0.752237,1.05,1.327211,7.0,126.991386,554.313334,164.86238,0.00975,0.009424,0.341729,0.263229,21.832755,39.0,0.2982194211124155,0.0
0.759841,0.370371,1.207266,5.0,125.782294,636.307426,381.290001,0.01225,0.010117,0.687013,0.226636,25.315607,39.0,2.0313498296828394,0.0
0.651445,0.564487,0.624823,7.0,127.906019,1156.956797,226.874329,0.00975,0.010184,0.220996,0.128541,39.463283,39.0,0.773759589726774,0.0
0.610090,0.722459,0.5,2.0,154.925778,1725.998959,303.49118,0.016,0.014186,0.098634,0.063832,55.135755,39.0,0.9589497403279764,0.0
0.800000,0.753736,0.540583,6.0,110.104597,898.262709,110.104597,0.011,0.009478,0.116749,0.138379,37.62634,39.0,0.0,1.0
0.590813,0.678809,1.135716,6.0,151.339697,988.237307,353.527545,0.011,0.01113,0.425555,0.183085,30.570993,39.0,1.3360376826036917,0.0
0.800000,0.689714,0.641017,2.0,118.275862,874.920125,118.275862,0.016,0.012537,0.137762,0.143895,36.648568,39.0,0.0,1.0
0.614623,0.800881,0.550789,2.0,154.730379,1588.969445,256.125099,0.016,0.014315,0.103058,0.076673,51.135585,39.0,0.6552925924530648,0.0
0.634464,0.50336,1.11293,2.0,162.51427,958.138867,423.739817,0.016,0.014459,0.45507,0.17453,31.829818,39.0,1.6074027387841634,0.0
0.800000,0.648637,0.890821,3.0,116.423729,679.831839,150.308045,0.01475,0.011474,0.256688,0.198822,28.476729,39.0,0.29104425063624767,0.0
0.590720,0.607382,0.994705,2.0,166.50601,1143.213719,376.749541,0.016,0.01514,0.343359,0.151749,35.359631,39.0,1.262677184034162,0.0
0.625570,0.713763,0.593446,4.0,132.342593,1368.594283,209.260851,0.0135,0.011703,0.146381,0.102238,44.827972,39.0,0.5812022328332938,0.0
0.686668,1.027848,1.32035,2.0,133.697249,653.199182,199.51619,0.016,0.013437,0.364916,0.244533,23.485027,39.0,0.49229756311009154,0.0
0.723363,1.05,0.931452,6.0,121.682944,743.51143,121.818991,0.011,0.010216,0.201647,0.201422,28.160643,39.0,0.0011170577196135626,0.0
0.671326,0.78282,0.694534,4.0,125.727966,1078.780359,151.61323,0.0135,0.011454,0.164982,0.136814,37.919737,39.0,0.2058853626090897,0.0
0.800000,0.480783,0.5,7.0,117.15937,914.121018,152.144052,0.00975,0.009292,0.175079,0.134821,38.290612,39.0,0.29860333330860933,0.0
0.674486,0.69004,1.4,4.0,155.661232,704.662326,348.276669,0.0135,0.011307,0.516093,0.230666,24.885868,39.0,1.2374038653290904,0.0
0.617413,0.890689,1.305177,5.0,158.281891,833.201458,298.02295,0.01225,0.011349,0.399115,0.211973,26.935461,39.0,0.8828577224457832,0.0
0.682313,0.9191,0.647994,5.0,123.633813,1084.002547,123.633813,0.01225,0.01073,0.128851,0.132605,38.726865,39.0,0.0,1.0
0.767948,0.96457,0.5,7.0,119.227,1038.316928,127.635219,0.00975,0.00931,0.079999,0.116315,41.750388,39.0,0.07052276923076925,0.0
fitness at iteration,3,,,,,108.709745,,,,,,,,0.0
0.708819,1.05,1.269225,7.0,132.08972,634.113274,177.974276,0.00975,0.009771,0.328239,0.244005,23.534265,39.0,0.34736345448409195,0.0
0.776428,0.558684,0.5,5.0,111.962149,997.406353,135.220081,0.01225,0.009953,0.143074,0.122492,40.548225,39.0,0.20772537666510096,0.0
0.728139,1.010304,0.836613,7.0,119.959529,779.124963,120.97473,0.00975,0.009833,0.181573,0.189357,29.704349,39.0,0.008440964100477956,0.0
0.738017,0.879031,0.538506,2.0,140.968323,1170.201219,163.448992,0.016,0.013151,0.082086,0.100588,45.219455,39.0,0.15947320512820523,0.0
0.669028,0.3,0.978606,4.0,129.879201,928.122711,483.40695,0.0135,0.011383,0.632779,0.170012,32.51237,39.0,2.721966684704609,0.0
0.800000,0.810687,0.928878,2.0,124.583461,661.91916,132.858745,0.016,0.012941,0.218619,0.205002,27.726405,39.0,0.0664237422073932,0.0
0.500000,1.05,0.864151,2.0,177.033028,1618.17369,315.126395,0.016,0.016512,0.188563,0.113401,42.363688,39.0,0.7800545502156645,0.0
0.759841,0.3,0.843974,4.0,111.637876,784.046119,318.432346,0.0135,0.010694,0.509723,0.178702,31.193417,39.0,1.8523631520632113,0.0
