D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.768315,0.727828,1.321225,7.0,0.0,497.927665,0.0,0.00975,0.008941,0.467147,0.287074,20.03106,39.0,0.6272703205445286,0.0
0.651620,0.979492,0.664651,5.0,99.535203,1065.792835,99.535203,0.01225,0.010545,0.126493,0.145778,36.363506,39.0,0.0,1.0
0.749215,1.05,0.944773,3.0,94.193979,653.858575,94.193979,0.01475,0.011419,0.189424,0.224,25.650082,39.0,0.0,1.0
0.661499,0.3,1.061327,7.0,0.0,789.50347,0.0,0.00975,0.009657,0.779997,0.20867,27.345248,39.0,2.737945080749509,0.0
0.769734,0.394187,1.187671,6.0,0.0,559.143451,0.0,0.011,0.009272,0.657464,0.255432,22.535259,39.0,1.5739296564251937,0.0
0.577719,0.947332,1.063877,4.0,0.0,974.911053,0.0,0.0135,0.01208,0.281254,0.191295,29.490393,39.0,0.47026320604302263,0.0
0.774563,1.05,0.748153,7.0,88.281773,692.633331,88.281773,0.00975,0.009152,0.140545,0.202291,28.090458,39.0,0.0,1.0
0.614941,0.987859,1.399918,6.0,0.0,732.056227,0.0,0.011,0.010269,0.406261,0.244139,23.570904,39.0,0.6640561319576143,0.0
0.789303,0.468622,1.138491,3.0,0.0,568.836679,0.0,0.01475,0.010967,0.476823,0.244682,23.508763,39.0,0.9487457189331457,0.0
0.500000,0.850644,0.5,3.0,0.0,2244.406056,0.0,0.01475,0.013493,0.09268,0.054695,58.758413,39.0,1.2011135874863168,0.0
0.661921,1.05,0.52078,7.0,0.0,1222.221768,0.0,0.00975,0.009575,0.081495,0.113506,42.359864,39.0,0.08615035897435902,0.0
0.500000,0.415979,1.4,6.0,0.0,1214.409688,0.0,0.011,0.011137,0.818483,0.175017,31.793171,39.0,3.6888927547165262,0.0
0.648954,0.3,0.779098,2.0,0.0,1079.614153,0.0,0.016,0.012957,0.421376,0.143887,36.68437,39.0,1.9285202971776465,0.0
0.523575,0.864089,1.159331,7.0,0.0,1092.34192,0.0,0.00975,0.010927,0.375842,0.187885,29.945831,39.0,1.1080980479485438,0.0
0.682621,1.017474,1.322772,3.0,0.0,613.412277,0.0,0.01475,0.011677,0.358054,0.262747,21.924544,39.0,0.3627329712613273,0.0
0.638814,0.757873,0.600231,7.0,0.0,1136.035897,0.0,0.00975,0.009824,0.153597,0.136544,37.998387,39.0,0.13242271859105068,0.0
0.800000,0.529943,0.673999,4.0,0.0,732.611787,0.0,0.0135,0.010003,0.214832,0.182429,30.687571,39.0,0.17761978632783157,0.0
0.513695,0.496792,0.582228,5.0,0.0,1785.232726,0.0,0.01225,0.011636,0.22898,0.089044,48.017455,39.0,1.8027544616432787,0.0
0.500000,0.337819,0.880333,7.0,0.0,1467.467368,0.0,0.00975,0.011092,0.597764,0.134355,38.418206,39.0,3.5701265759555914,0.0
0.519818,0.737906,0.886012,7.0,0.0,1300.615025,0.0,0.00975,0.010991,0.297711,0.151699,35.399618,39.0,1.0754218519902305,0.0
0.540029,0.567987,1.093134,7.0,0.0,1095.516186,0.0,0.00975,0.010706,0.492784,0.180481,30.976632,39.0,1.819688394937971,0.0
0.593285,0.912501,1.175853,5.0,0.0,870.102591,0.0,0.01225,0.011195,0.33876,0.211487,27.029151,39.0,0.6018005834874011,0.0
0.744983,0.419354,1.169917,5.0,0.0,607.296673,0.0,0.01225,0.009846,0.596753,0.242841,23.688948,39.0,1.4573815788931852,0.0
0.696103,1.05,1.137245,4.0,0.0,653.531122,0.0,0.0135,0.010967,0.268632,0.241537,23.819803,39.0,0.11217743037298625,0.0
0.606116,0.3,0.549332,7.0,0.0,1306.459423,0.0,0.00975,0.010168,0.359003,0.117907,41.462003,39.0,2.1490356635353236,0.0
0.795591,0.897912,0.662774,7.0,84.982072,716.505377,84.982072,0.00975,0.008957,0.135073,0.188526,29.847497,39.0,0.0,1.0
0.566672,1.018169,1.013585,2.0,0.0,1042.340525,0.0,0.016,0.014749,0.244453,0.180816,30.927131,39.0,0.35194341208742586,0.0
0.559278,1.05,0.987198,7.0,0.0,1049.762857,0.0,0.00975,0.010724,0.244643,0.182126,30.740953,39.0,0.4340866761137362,0.0
fitness at iteration,2,,,,,108.777356,,,,,,,,0.0
0.509823,1.05,0.742069,7.0,0.0,1513.578428,0.0,0.00975,0.011134,0.161354,0.123454,40.403836,39.0,0.4672966668987705,0.0
0.636013,0.419258,1.198443,4.0,0.0,830.004393,0.0,0.0135,0.011225,0.615849,0.206124,27.640437,39.0,1.9877597950748094,0.0
0.562230,0.794248,1.321225,7.0,0.0,898.146743,0.0,0.00975,0.010377,0.47345,0.21689,26.439902,39.0,1.243325863416175,0.0
0.651620,0.61828,0.664651,7.0,0.0,1020.427363,0.0,0.00975,0.009783,0.218402,0.155134,34.815693,39.0,0.41120126962124937,0.0
0.749215,1.05,0.944773,7.0,91.406398,625.095496,91.406398,0.00975,0.009333,0.206851,0.234498,24.521742,39.0,0.0,1.0
0.661499,1.037999,1.371956,5.0,0.0,642.270346,0.0,0.01225,0.010429,0.369407,0.25891,22.245681,39.0,0.42677764474141605,0.0
0.800000,0.394187,1.229592,2.0,0.0,556.026899,0.0,0.016,0.011986,0.576338,0.246992,23.2908,39.0,1.3334278033296627,0.0
0.779853,0.947332,0.568608,5.0,88.838685,865.161733,88.838685,0.01225,0.009627,0.09346,0.152062,35.327157,39.0,0.0,1.0
0.572396,1.05,1.076315,2.0,0.0,973.31589,0.0,0.016,0.014591,0.265131,0.193787,29.17087,39.0,0.36815679070319485,0.0
0.614941,1.05,0.92898,6.0,0.0,923.867555,0.0,0.011,0.01059,0.211575,0.18934,29.746886,39.0,0.11743424527305378,0.0
0.789303,0.727931,1.138491,3.0,0.0,541.896002,0.0,0.01475,0.011109,0.337389,0.257048,22.395364,39.0,0.31255251937381345,0.0
0.800000,0.850644,0.999194,3.0,92.132835,566.763596,92.132835,0.01475,0.011075,0.241101,0.242281,23.740538,39.0,0.0,1.0
0.530518,0.909925,0.670378,3.0,0.0,1606.66071,0.0,0.01475,0.013362,0.138371,0.10319,44.629567,39.0,0.4852820708451673,0.0
0.604969,0.401983,1.399346,4.0,0.0,862.423255,0.0,0.0135,0.011215,0.773191,0.208931,27.318225,39.0,2.7007002311768,0.0
0.648954,1.05,0.779098,5.0,100.656803,956.825049,100.656803,0.01225,0.010684,0.152854,0.170245,32.512101,39.0,0.0,1.0
0.618454,1.05,1.159331,6.0,0.0,797.50886,0.0,0.011,0.010509,0.294252,0.222525,25.825093,39.0,0.32233232221098757,0.0
0.682621,1.05,1.003308,4.0,0.0,736.778014,0.0,0.0135,0.011107,0.221386,0.217839,26.333874,39.0,0.016282667474602778,0.0
0.638814,0.601275,0.5,6.0,0.0,1285.627952,0.0,0.011,0.010054,0.14783,0.110521,43.001976,39.0,0.4401886239733068,0.0
0.712560,0.659655,1.070634,7.0,0.0,645.173163,0.0,0.00975,0.009417,0.391841,0.238973,24.071128,39.0,0.6396873286940365,0.0
0.657550,0.962332,1.4,3.0,0.0,638.946124,0.0,0.01475,0.011762,0.4158,0.261865,21.998414,39.0,0.5878410631432226,0.0
0.662677,0.867368,0.880333,6.0,0.0,834.278331,0.0,0.011,0.010149,0.228822,0.195482,28.947514,39.0,0.17055278746892302,0.0
0.580166,0.737906,0.886012,4.0,0.0,1107.202817,0.0,0.0135,0.011961,0.263162,0.162607,33.633964,39.0,0.6183928121175596,0.0
0.540029,0.975603,1.065788,7.0,0.0,1072.852607,0.0,0.00975,0.010854,0.296691,0.185016,30.335801,39.0,0.705310099665263,0.0
0.593285,0.912501,1.389275,5.0,0.0,794.946165,0.0,0.01225,0.010964,0.430771,0.232916,24.694467,39.0,0.8494693365848632,0.0
0.618290,0.419354,0.620556,5.0,0.0,1213.780952,0.0,0.01225,0.010689,0.279117,0.129678,39.294452,39.0,1.159935189856058,0.0
0.638094,0.678623,1.294437,4.0,0.0,749.164052,0.0,0.0135,0.011287,0.472198,0.229723,25.029949,39.0,1.0555103320085493,0.0
0.524749,0.663146,0.549332,7.0,0.0,1724.748145,0.0,0.00975,0.010716,0.167254,0.09177,47.388804,39.0,1.1277777125322381,0.0
0.795591,0.897912,0.687155,5.0,83.714162,719.804372,83.714162,0.01225,0.009604,0.134679,0.187504,29.984924,39.0,0.0,1.0
0.640857,0.3,1.226296,3.0,0.0,857.726202,0.0,0.01475,0.011855,0.788954,0.196774,28.781155,39.0,3.00944230436948,0.0
0.787479,0.814529,0.987198,7.0,0.0,556.457782,0.0,0.00975,0.009051,0.277113,0.250817,22.944039,39.0,0.1048413783754689,0.0
fitness at iteration,3,,,,,108.777356,,,,,,,,0.0
0.555379,0.657656,0.912994,5.0,0.0,1170.197256,0.0,0.01225,0.011507,0.317771,0.160053,34.028856,39.0,0.9854110825788959,0.0
0.578856,0.419258,0.835229,2.0,0.0,1258.37394,0.0,0.016,0.014147,0.358006,0.135801,38.139827,39.0,1.6362545194807105,0.0
