D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.592088,3,0.379467,0.842457,0.000000,1280.576977,0.284386,1.021328,0.014750,0.013055,0.417683,0.127198,39.699976,39.000000,0.000000,2,4
0.673737,2,0.479904,0.808180,0.000000,1041.147510,0.301746,1.023496,0.016000,0.013744,0.292949,0.143463,36.728359,39.000000,0.000000,2,5
0.588781,3,0.300000,0.511283,0.000000,1719.997489,0.299636,1.042275,0.014750,0.012595,0.276847,0.070190,53.024927,39.000000,0.000000,2,6
0.500000,3,0.340558,0.875248,0.000000,1750.617473,0.242629,1.019254,0.014750,0.014206,0.498803,0.098150,45.831058,39.000000,0.000000,2,7
0.504714,7,0.300000,1.067227,0.000000,1456.250699,0.240129,1.007112,0.009750,0.011454,0.827447,0.133880,38.483982,39.000000,0.000000,2,8
0.776378,7,0.571398,1.400000,0.000000,531.210706,0.325216,0.986064,0.009750,0.009151,0.614375,0.266115,21.594287,39.000000,0.000000,2,9
0.772923,5,1.050000,1.130424,0.000000,586.984445,0.343123,1.003114,0.012250,0.010301,0.259039,0.241697,23.755340,39.000000,0.000000,2,10
0.521705,2,0.300000,0.798300,0.000000,1763.254897,0.257215,1.024121,0.016000,0.015260,0.461034,0.088327,48.165797,39.000000,0.000000,2,11
0.560366,7,0.818688,0.742612,0.000000,1372.698607,0.278490,1.027643,0.009750,0.011023,0.205225,0.124003,40.275960,39.000000,0.000000,2,12
0.607335,3,0.826907,0.605879,0.000000,1467.967063,0.277631,1.036292,0.014750,0.012914,0.124255,0.094851,46.681301,39.000000,0.000000,2,13
0.685598,2,0.839705,0.788010,0.000000,985.855754,0.292796,1.024772,0.016000,0.013921,0.172914,0.151549,35.390101,39.000000,0.000000,2,14
0.639748,2,0.857253,0.915365,0.000000,1000.142646,0.273914,1.016717,0.016000,0.014561,0.224953,0.163260,33.501921,39.000000,0.000000,2,15
0.500000,6,1.050000,1.375300,0.000000,1195.082938,0.215107,0.987626,0.011000,0.011951,0.396715,0.178158,31.287198,39.000000,0.000000,2,16
0.624513,3,1.050000,0.702148,0.000000,1251.198146,0.282372,1.030203,0.014750,0.012938,0.122975,0.120593,40.913448,39.000000,0.000000,2,17
0.719800,2,0.772840,0.968583,0.000000,782.336755,0.298567,1.013351,0.016000,0.013689,0.255438,0.191014,29.485226,39.000000,0.000000,2,18
0.528509,6,0.477041,0.621863,0.000000,1742.126187,0.268565,1.035281,0.011000,0.011571,0.269540,0.088144,48.209299,39.000000,0.000000,2,19
0.523465,2,0.532758,0.891147,0.000000,1563.030184,0.228995,1.018249,0.016000,0.015970,0.333367,0.111170,42.840431,39.000000,0.000000,2,20
0.800000,2,0.399631,0.993541,0.000000,679.330263,0.338416,1.011772,0.016000,0.012591,0.428923,0.198990,28.455720,39.000000,0.000000,2,21
0.610336,6,0.300000,1.400000,0.000000,931.988001,0.253343,0.986064,0.011000,0.010438,1.025162,0.188812,29.783650,39.000000,0.000000,2,22
0.750189,5,0.521736,1.368897,0.000000,596.703150,0.308441,0.988031,0.012250,0.010094,0.610343,0.244977,23.438396,39.000000,0.000000,2,23
0.528270,4,0.764253,1.400000,0.000000,1108.083266,0.216313,0.986064,0.013500,0.012843,0.511128,0.182551,30.649762,39.000000,0.000000,2,24
0.800000,3,1.050000,0.902497,115.863039,655.121005,0.353767,1.017531,0.014750,0.011542,0.171029,0.207436,27.441644,39.000000,115.863039,2,25
0.509213,2,0.393288,1.117896,0.000000,1506.827525,0.209502,1.003907,0.016000,0.016059,0.577377,0.124562,40.175511,39.000000,0.000000,2,26
0.780344,2,0.300000,1.090909,0.000000,696.406763,0.332353,1.005614,0.016000,0.012534,0.617942,0.199010,28.454294,39.000000,0.000000,2,27
0.752974,5,0.462304,1.122987,0.000000,657.040975,0.337190,1.003585,0.012250,0.010271,0.523411,0.221431,25.904242,39.000000,0.000000,2,28
0.703705,5,0.752085,1.061611,0.000000,740.776266,0.321473,1.007467,0.012250,0.010746,0.328212,0.208762,27.294559,39.000000,0.000000,2,29
0.626338,7,0.851029,0.699870,0.000000,1160.489420,0.305260,1.030347,0.009750,0.010427,0.173947,0.136083,38.058250,39.000000,0.000000,2,30
best fit at iteration 2,136.758854
0.605477,2,0.466008,1.282992,0.000000,980.188187,0.230888,0.993464,0.016000,0.014615,0.595768,0.179561,31.074589,39.000000,0.000000,3,1
0.686402,4,0.830206,1.023994,0.000000,797.677524,0.309291,1.009846,0.013500,0.011564,0.281287,0.197356,28.668466,39.000000,0.000000,3,2
0.690622,2,0.300000,0.532237,0.000000,1304.591673,0.349549,1.040950,0.016000,0.012753,0.253082,0.092602,47.175211,39.000000,0.000000,3,3
0.682117,3,0.389715,0.754725,0.000000,1039.664577,0.330730,1.026877,0.014750,0.012076,0.339467,0.141146,37.132210,39.000000,0.000000,3,4
0.673737,4,0.618802,0.808180,0.000000,975.133092,0.322018,1.023496,0.013500,0.011496,0.258574,0.157497,34.399581,39.000000,0.000000,3,5
0.762845,3,0.608552,0.511283,0.000000,1077.924290,0.344182,1.042275,0.014750,0.011286,0.121277,0.110142,43.054943,39.000000,0.000000,3,6
0.624097,4,0.961426,0.948052,0.000000,991.277041,0.290329,1.014649,0.013500,0.012135,0.227502,0.170883,32.392598,39.000000,0.000000,3,7
0.500000,3,1.045947,1.136082,0.000000,1323.670245,0.231173,1.002756,0.014750,0.014675,0.303458,0.155985,34.653606,39.000000,0.000000,3,8
0.768459,4,0.798433,1.002188,0.000000,657.799762,0.343343,1.011225,0.013500,0.010921,0.269438,0.216158,26.467513,39.000000,0.000000,3,9
0.762656,5,0.495238,1.400000,0.000000,576.130287,0.310167,0.986064,0.012250,0.009949,0.650520,0.249627,23.006368,39.000000,0.000000,3,10
0.618029,5,0.672640,0.798300,0.000000,1129.531500,0.304985,1.024121,0.012250,0.011342,0.251245,0.144508,36.551523,39.000000,0.000000,3,11
0.560366,4,0.341311,0.949017,0.000000,1314.408102,0.269366,1.014588,0.013500,0.012474,0.566272,0.133449,38.565675,39.000000,0.000000,3,12
0.607335,3,0.826907,0.605879,0.000000,1467.967063,0.277631,1.036292,0.014750,0.012914,0.124255,0.094851,46.681301,39.000000,0.000000,3,13
0.685598,2,0.794526,0.788010,0.000000,989.208055,0.293148,1.024772,0.016000,0.013904,0.181526,0.150822,35.510442,39.000000,0.000000,3,14
0.610622,4,0.958644,0.915365,0.000000,1057.575219,0.286305,1.016717,0.013500,0.012256,0.217331,0.161237,33.812895,39.000000,0.000000,3,15
0.776309,7,0.398008,0.500000,0.000000,959.268187,0.330145,1.042989,0.009750,0.009454,0.217083,0.131248,38.991800,39.000000,0.000000,3,16
0.624513,6,0.673887,0.702148,0.000000,1179.995349,0.311648,1.030203,0.011000,0.010748,0.215182,0.133336,38.585158,39.000000,0.000000,3,17
0.622918,3,0.929935,1.053708,0.000000,935.910077,0.276867,1.007967,0.014750,0.013156,0.273170,0.183394,30.525556,39.000000,0.000000,3,18
0.528509,6,0.477041,1.037420,0.000000,1321.010355,0.254179,1.008997,0.011000,0.011704,0.520031,0.144504,36.555896,39.000000,0.000000,3,19
0.740981,6,0.300000,0.891147,0.000000,766.326286,0.351983,1.018249,0.011000,0.009935,0.597315,0.189149,29.731661,39.000000,0.000000,3,20
0.800000,5,1.046429,1.033259,114.560210,583.786570,0.360735,1.009260,0.012250,0.010153,0.222686,0.234713,24.453595,39.000000,114.560210,3,21
0.610336,2,0.659360,1.137708,0.000000,976.618130,0.245768,1.002654,0.016000,0.014892,0.393752,0.178641,31.209901,39.000000,0.000000,3,22
0.750189,6,0.521736,1.368897,0.000000,587.561501,0.314530,0.988031,0.011000,0.009655,0.628920,0.248832,23.079313,39.000000,0.000000,3,23
0.500000,6,1.050000,1.205841,0.000000,1277.657705,0.226852,0.998344,0.011000,0.012180,0.330699,0.163652,33.449001,39.000000,0.000000,3,24
0.800000,3,0.494693,0.902497,0.000000,686.464882,0.357103,1.017531,0.014750,0.011377,0.331246,0.196636,28.754574,39.000000,0.000000,3,25
0.674870,2,0.614557,1.166889,0.000000,805.204640,0.266152,1.000808,0.016000,0.014063,0.415668,0.199069,28.452802,39.000000,0.000000,3,26
0.649716,2,1.029251,1.400000,0.000000,691.432553,0.305449,0.986064,0.016000,0.013562,0.417006,0.244174,23.521892,39.000000,0.000000,3,27
0.752974,4,1.050000,1.145089,0.000000,613.807251,0.332646,1.002187,0.013500,0.011015,0.264814,0.237231,24.199726,39.000000,0.000000,3,28
0.629704,7,0.300000,0.834772,0.000000,1062.878399,0.304275,1.021814,0.009750,0.010393,0.594768,0.153588,35.044388,39.000000,0.000000,3,29
0.737156,6,0.443573,0.500000,0.000000,1066.308592,0.334901,1.042989,0.011000,0.009879,0.194705,0.119312,41.156753,39.000000,0.000000,3,30
