D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.800000,3,0.752481,0.605016,113.725607,886.159579,0.353872,1.036346,0.014750,0.011226,0.122032,0.141190,37.119366,39.000000,113.725607,3,14
0.800000,7,1.037250,1.400000,122.673770,481.217997,0.344795,0.986064,0.009750,0.009050,0.363294,0.284703,20.157212,39.000000,156.537601,3,15
0.707056,5,0.888368,1.400000,144.988724,620.924802,0.291171,0.986064,0.012250,0.010478,0.424550,0.249879,22.987490,39.000000,246.339208,3,16
0.503491,2,0.879883,0.543132,187.681672,2336.229949,0.212311,1.040261,0.016000,0.015927,0.097210,0.048742,61.589393,39.000000,483.019186,3,17
0.796453,5,0.358933,1.273232,123.576200,569.923828,0.339491,0.994082,0.012250,0.009822,0.741607,0.241563,23.767059,39.000000,379.383323,3,18
0.700683,6,0.980593,1.251379,135.661129,661.047774,0.308225,0.995464,0.011000,0.010238,0.337704,0.236746,24.252293,39.000000,193.512447,3,19
0.558207,5,1.050000,1.188815,165.086283,1047.441432,0.251537,0.999421,0.012250,0.012084,0.312869,0.182793,30.614252,39.000000,282.561929,3,20
0.618781,6,0.885676,0.622415,132.866982,1310.719333,0.302102,1.035246,0.011000,0.010745,0.135271,0.112894,42.466411,39.000000,171.011771,3,21
0.774549,4,0.687739,0.710705,110.763251,816.831265,0.365534,1.029662,0.013500,0.010672,0.183454,0.165726,33.126839,39.000000,122.612158,3,22
0.774998,3,0.438388,0.636173,108.366602,904.613853,0.371918,1.034376,0.014750,0.011243,0.230390,0.143555,36.708126,39.000000,173.916240,3,23
0.661734,4,0.300000,1.225379,145.668506,860.529644,0.286346,0.997108,0.013500,0.011326,0.822543,0.188550,29.815917,39.000000,635.474468,3,24
0.500000,6,0.688441,1.286747,189.342997,1283.490165,0.220390,0.993227,0.011000,0.011981,0.511857,0.162645,33.601694,39.000000,611.383254,3,25
0.700808,3,1.028920,1.107863,132.874359,718.692232,0.311832,1.004541,0.014750,0.012321,0.262160,0.217095,26.371864,39.000000,160.456922,3,26
0.603155,3,0.416570,0.777076,138.535693,1285.829271,0.292416,1.025464,0.014750,0.012912,0.344377,0.122209,40.607917,39.000000,396.096847,3,27
0.633596,7,0.300000,0.804950,132.837197,1070.255458,0.305658,1.023701,0.009750,0.010369,0.567896,0.150866,35.505719,39.000000,507.967866,3,28
0.627144,4,1.012858,1.081910,144.810033,896.559299,0.285228,1.006183,0.013500,0.012112,0.267684,0.191394,29.440482,39.000000,202.531194,3,29
0.708193,2,0.964018,0.500000,160.407414,1360.805220,0.248834,1.042989,0.016000,0.013568,0.064926,0.079192,50.459889,39.000000,207.542060,3,30
best fit at iteration 3,113.725607
0.751541,6,0.300000,0.790917,114.023686,794.278690,0.356646,1.024588,0.011000,0.009887,0.512239,0.178288,31.255318,39.000000,327.601846,4,1
0.792498,4,0.838946,0.736224,110.692313,764.523812,0.366453,1.028047,0.013500,0.010620,0.157226,0.175171,31.723991,39.000000,110.692313,4,2
0.632782,7,1.050000,0.811394,135.831769,1033.129473,0.299050,1.023293,0.009750,0.010517,0.175165,0.158566,34.230030,39.000000,159.956172,4,3
0.656636,5,0.703731,0.635767,124.370985,1167.742056,0.323269,1.034401,0.012250,0.010872,0.169017,0.124679,40.148584,39.000000,172.262420,4,4
0.691107,4,0.751981,0.500000,127.931824,1289.941630,0.311891,1.042989,0.013500,0.011084,0.102166,0.094853,46.678157,39.000000,162.982510,4,5
