D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid,seed,iteration
0.565275,0.781539,1.248817,2.0,227.786619,1115.92021,578.050436,0.016,0.016051,0.421331,0.166239,33.028715,39.0,1.5376668721834938,0.0,5,3
0.731695,0.85291,0.981502,6.0,151.917594,764.52333,210.922832,0.011,0.010507,0.266875,0.192218,29.290024,39.0,0.3883975486166747,0.0,5,3
0.748316,0.591554,0.5664,4.0,142.988273,1091.720948,214.913982,0.0135,0.011091,0.156526,0.11131,42.775496,39.0,0.5030244615430686,0.0,5,3
0.500000,0.366718,1.038831,6.0,217.273561,1628.227617,1319.03346,0.011,0.012459,0.656673,0.112045,42.626899,39.0,5.070898512914047,0.0,5,3
0.754476,0.552403,1.00129,4.0,154.190897,756.808832,307.017726,0.0135,0.011375,0.373601,0.187631,29.897185,39.0,0.9911475182672375,0.0,5,3
0.683568,0.518787,1.112574,5.0,170.343443,851.021856,449.727469,0.01225,0.011231,0.484683,0.183584,30.459372,39.0,1.640115696356981,0.0,5,3
0.540660,0.876215,0.663808,2.0,215.2994,1883.047546,505.958145,0.016,0.016252,0.13622,0.06923,53.30696,39.0,1.3499949970429248,0.0,5,3
0.706750,0.857218,1.328236,3.0,182.408933,696.020239,332.01766,0.01475,0.012566,0.40473,0.222357,25.75646,39.0,0.8201810601869965,0.0,5,3
0.581713,0.3,0.635598,5.0,174.026065,1594.486641,865.507635,0.01225,0.011951,0.409305,0.086567,48.565544,39.0,3.9734577745022155,0.0,5,3
0.729373,0.348341,0.612064,5.0,145.133815,1062.012944,379.441866,0.01225,0.010737,0.314863,0.122302,40.558159,39.0,1.614424185364183,0.0,5,3
0.616748,1.05,0.685702,7.0,175.005727,1323.40146,248.434058,0.00975,0.010953,0.13537,0.111516,42.736403,39.0,0.419544652239464,0.0,5,3
0.800000,0.333947,0.507641,4.0,135.586443,1021.241754,303.29803,0.0135,0.010688,0.238169,0.11129,42.777675,39.0,1.2369389400181092,0.0,5,3
0.770696,0.55765,0.996813,7.0,143.926714,691.39463,287.993404,0.00975,0.00983,0.405015,0.203232,27.900238,39.0,1.0010085692723394,0.0,5,3
0.624638,0.443176,1.3528,6.0,202.203031,930.245807,807.250994,0.011,0.010942,0.733999,0.183855,30.42458,39.0,2.9922710831905577,0.0,5,3
