D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.756073,2,0.801222,1.233112,0.000000,602.721601,0.304433,0.996619,0.016000,0.013168,0.362781,0.240642,23.860478,39.000000,0.000000,1,29
0.612191,5,0.731153,1.323750,0.000000,859.835533,0.258897,0.990886,0.012250,0.011330,0.475609,0.206495,27.561396,39.000000,0.000000,1,30
best fit at iteration 1,134.116654
0.619323,6,0.971475,0.989621,0.000000,956.412876,0.293172,1.012020,0.011000,0.011000,0.251992,0.179970,31.014231,39.000000,0.000000,2,1
0.634657,2,0.625254,1.400000,0.000000,806.362809,0.243150,0.986064,0.016000,0.014083,0.558596,0.213214,26.795875,39.000000,0.000000,2,2
0.667392,7,1.035052,1.024212,0.000000,802.424876,0.310612,1.009832,0.009750,0.010254,0.249653,0.202447,28.040367,39.000000,0.000000,2,3
0.772344,2,0.362755,1.400000,0.000000,614.810483,0.284625,0.986064,0.016000,0.012444,0.744048,0.230825,24.862827,39.000000,0.000000,2,4
0.567425,6,0.529189,0.513166,0.000000,1707.885268,0.278282,1.042156,0.011000,0.011093,0.184834,0.078141,50.741796,39.000000,0.000000,2,5
0.799247,2,0.442449,0.717673,0.000000,821.607796,0.366681,1.029221,0.016000,0.012366,0.248807,0.157564,34.383041,39.000000,0.000000,2,6
0.682154,3,0.328127,0.563240,0.000000,1235.419245,0.341090,1.038989,0.014750,0.011796,0.273036,0.105257,44.126072,39.000000,0.000000,2,7
0.732654,2,1.050000,1.097510,0.000000,665.104518,0.324760,1.005196,0.016000,0.013393,0.249346,0.224852,25.514527,39.000000,0.000000,2,8
0.595087,2,0.538616,0.962800,0.000000,1167.572318,0.251815,1.013717,0.016000,0.014979,0.357439,0.145526,36.380041,39.000000,0.000000,2,9
0.581891,2,0.935349,1.400000,0.000000,868.129556,0.260084,0.986064,0.016000,0.014537,0.457618,0.216426,26.449946,39.000000,0.000000,2,10
0.729143,3,0.884180,1.166666,0.000000,657.212973,0.309872,1.000822,0.014750,0.012076,0.315099,0.228728,25.090969,39.000000,0.000000,2,11
0.724487,5,0.314112,0.730940,0.000000,902.531827,0.352227,1.028382,0.012250,0.010412,0.434160,0.158498,34.236686,39.000000,0.000000,2,12
0.638531,2,0.822003,1.400000,0.000000,751.374808,0.265665,0.986064,0.016000,0.013953,0.476030,0.228505,25.121011,39.000000,0.000000,2,13
0.679210,5,0.437990,0.742090,0.000000,1001.290190,0.335158,1.027676,0.012250,0.010748,0.329937,0.150203,35.609229,39.000000,0.000000,2,14
0.543380,2,0.713540,1.214237,0.000000,1151.339139,0.220323,0.997813,0.016000,0.015783,0.428908,0.168334,32.757123,39.000000,0.000000,2,15
0.639880,4,0.703567,1.271061,0.000000,817.305412,0.267953,0.994219,0.013500,0.011824,0.450051,0.208026,27.383037,39.000000,0.000000,2,16
0.593837,2,0.412866,1.123037,0.000000,1111.382423,0.241412,1.003582,0.016000,0.014816,0.541886,0.156554,34.556464,39.000000,0.000000,2,17
0.744308,4,0.924341,1.075056,0.000000,659.965284,0.329961,1.006616,0.013500,0.011110,0.268227,0.223028,25.720102,39.000000,0.000000,2,18
0.546276,5,0.405479,0.871433,0.000000,1393.370237,0.271466,1.019496,0.012250,0.011988,0.460854,0.126336,39.854509,39.000000,0.000000,2,19
0.800000,2,0.587546,0.968164,0.000000,664.265287,0.327372,1.013377,0.016000,0.012846,0.302751,0.204178,27.824679,39.000000,0.000000,2,20
0.730292,2,1.050000,1.395254,0.000000,556.764144,0.343186,0.986364,0.016000,0.012731,0.389321,0.270009,21.289552,39.000000,0.000000,2,21
0.793950,7,0.897281,1.285594,0.000000,511.310912,0.351308,0.993300,0.009750,0.009228,0.372082,0.270385,21.255771,39.000000,0.000000,2,22
0.761737,7,0.401011,0.687986,0.000000,821.841976,0.351547,1.031099,0.009750,0.009549,0.330581,0.168112,32.778703,39.000000,0.000000,2,23
0.524971,5,0.735303,1.185408,0.000000,1220.828015,0.234982,0.999637,0.012250,0.012395,0.422289,0.162929,33.557388,39.000000,0.000000,2,24
0.710250,2,0.642126,0.890268,0.000000,865.593652,0.299506,1.018304,0.016000,0.013669,0.260375,0.172201,32.190211,39.000000,0.000000,2,25
0.631903,5,0.706402,0.875357,0.000000,1021.454697,0.306189,1.019247,0.012250,0.011278,0.272290,0.161338,33.796220,39.000000,0.000000,2,26
0.588753,2,0.464429,0.500000,0.000000,1819.570914,0.281409,1.042989,0.016000,0.014042,0.159485,0.061209,56.091931,39.000000,0.000000,2,27
0.800000,7,0.669985,1.340089,0.000000,503.361894,0.345375,0.989853,0.009750,0.009112,0.506444,0.272604,21.084774,39.000000,0.000000,2,28
0.756073,4,0.667400,0.771283,0.000000,809.114844,0.356777,1.025830,0.013500,0.010848,0.215610,0.173195,32.031152,39.000000,0.000000,2,29
0.596576,4,0.546168,0.862862,0.000000,1187.085211,0.286435,1.020038,0.013500,0.012224,0.328831,0.141459,37.080535,39.000000,0.000000,2,30
best fit at iteration 2,134.116654
0.638262,6,0.971475,0.989621,0.000000,903.721317,0.301309,1.012020,0.011000,0.010838,0.249593,0.185712,30.201762,39.000000,0.000000,3,1
0.634657,2,0.575300,1.101704,0.000000,945.011721,0.255245,1.004931,0.016000,0.014543,0.407340,0.177340,31.403254,39.000000,0.000000,3,2
0.682500,7,0.696945,1.024212,0.000000,780.183069,0.325663,1.009832,0.009750,0.010044,0.358092,0.203771,27.880310,39.000000,0.000000,3,3
0.636511,2,0.564676,0.702297,0.000000,1254.019112,0.288215,1.030193,0.016000,0.014097,0.210844,0.116127,41.793465,39.000000,0.000000,3,4
0.605987,2,0.529189,0.513166,0.000000,1697.319604,0.281522,1.042156,0.016000,0.013964,0.143522,0.067584,53.854963,39.000000,0.000000,3,5
0.799272,2,0.442449,1.043779,0.000000,655.002667,0.326914,1.008595,0.016000,0.012696,0.423435,0.207696,27.411719,39.000000,0.000000,3,6
0.500389,3,0.512835,0.563240,0.000000,2206.736133,0.249889,1.038989,0.014750,0.013920,0.192496,0.056851,57.817198,39.000000,0.000000,3,7
0.732654,2,0.942915,1.097510,0.000000,675.449415,0.311636,1.005196,0.016000,0.013484,0.269420,0.221381,25.911375,39.000000,0.000000,3,8
0.595087,5,0.538616,0.962800,0.000000,1101.434621,0.285207,1.013717,0.012250,0.011585,0.401075,0.158018,34.319276,39.000000,0.000000,3,9
0.599335,2,0.935349,0.839942,0.000000,1193.239727,0.262380,1.021487,0.016000,0.015015,0.185439,0.139417,37.445172,39.000000,0.000000,3,10
0.780029,4,0.848629,1.098408,0.000000,601.350644,0.340274,1.005139,0.013500,0.010843,0.292106,0.233691,24.560492,39.000000,0.000000,3,11
0.724487,5,1.048784,0.961161,0.000000,734.522627,0.335151,1.013820,0.012250,0.010653,0.207116,0.203892,27.863417,39.000000,0.000000,3,12
0.638531,2,0.822003,1.337852,0.000000,775.332073,0.264284,0.989994,0.016000,0.014152,0.439353,0.221339,25.921983,39.000000,0.000000,3,13
0.500000,3,0.702580,1.310713,0.000000,1293.838857,0.204681,0.991711,0.014750,0.014514,0.497203,0.160885,33.872622,39.000000,0.000000,3,14
0.800000,5,0.418228,1.214237,0.000000,568.873173,0.346530,0.997813,0.012250,0.009898,0.616725,0.240934,23.828904,39.000000,0.000000,3,15
0.537079,3,0.606144,0.745866,0.000000,1608.754245,0.256355,1.027438,0.014750,0.013861,0.240271,0.100530,45.240410,39.000000,0.000000,3,16
0.593837,2,0.804298,0.500000,0.000000,1828.750408,0.241269,1.042989,0.016000,0.014508,0.088064,0.059203,56.861748,39.000000,0.000000,3,17
0.744308,4,0.924341,0.567148,0.000000,1047.219407,0.327885,1.038742,0.013500,0.010829,0.094663,0.121099,40.812131,39.000000,0.000000,3,18
