D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.734921,4,0.913486,0.500000,130.661062,1183.698396,0.305646,1.042989,0.013500,0.010877,0.077809,0.099245,45.549154,39.000000,152.602586,3,7
0.509948,2,0.891671,0.500000,194.019550,2447.782379,0.204895,1.042989,0.016000,0.015790,0.082173,0.042166,65.357784,39.000000,509.226466,3,8
0.800000,5,0.372148,0.688246,106.149954,773.831316,0.381088,1.031082,0.012250,0.009942,0.329167,0.170667,32.414170,39.000000,204.732807,3,9
0.704161,2,0.300000,0.906064,124.872273,929.916896,0.327685,1.017305,0.016000,0.013139,0.503051,0.158196,34.285854,39.000000,397.084447,3,10
0.571124,2,0.618409,0.500000,155.597094,1935.425202,0.255817,1.042989,0.016000,0.014507,0.119755,0.056704,57.876954,39.000000,403.923311,3,11
0.570755,6,0.300000,0.500000,147.906978,1697.887672,0.269097,1.042989,0.011000,0.011175,0.321155,0.078144,50.740781,39.000000,654.705189,3,12
0.800000,4,0.449053,0.722712,105.908613,766.798523,0.382759,1.028902,0.013500,0.010449,0.280174,0.172619,32.119581,39.000000,171.898287,3,13
0.665899,5,0.613448,0.500000,125.839142,1325.377248,0.316906,1.042989,0.012250,0.010667,0.137894,0.096639,46.211120,39.000000,202.827132,3,14
0.500000,7,0.882359,1.011209,169.281876,1404.245409,0.242261,1.010655,0.009750,0.011766,0.309116,0.143304,36.763059,39.000000,394.157664,3,15
0.579021,7,0.752600,1.073854,148.948522,1033.355489,0.276885,1.006692,0.009750,0.010874,0.374613,0.177854,31.328723,39.000000,329.125156,3,16
0.691636,3,0.789369,0.742488,128.555107,995.174144,0.315027,1.027651,0.014750,0.012265,0.172259,0.147549,36.039213,39.000000,150.084843,3,17
0.571124,2,0.798886,0.756961,161.397556,1427.376086,0.250515,1.026736,0.016000,0.015274,0.180957,0.111883,42.684254,39.000000,276.286681,3,18
0.657013,7,0.669261,0.675696,125.929612,1084.347215,0.320026,1.031876,0.009750,0.010163,0.207373,0.140194,37.302759,39.000000,191.389070,3,19
0.800000,5,0.300000,0.730068,106.706421,751.399433,0.380053,1.028437,0.012250,0.009956,0.437279,0.176815,31.474546,39.000000,263.894019,3,20
0.800000,7,0.300000,0.500000,122.527948,905.986807,0.326362,1.042989,0.009750,0.009410,0.285589,0.136624,37.949887,39.000000,256.123598,3,21
0.725623,7,0.650258,0.910733,117.387516,748.107414,0.348834,1.017010,0.009750,0.009765,0.315934,0.199284,28.423235,39.000000,186.275305,3,22
0.660953,4,1.040957,0.647175,132.955263,1182.260098,0.302628,1.033680,0.013500,0.011571,0.108900,0.120578,40.914972,39.000000,139.483612,3,23
0.800000,5,0.368107,0.592006,107.187892,844.429268,0.375185,1.037169,0.012250,0.009906,0.273519,0.151628,35.371370,39.000000,193.354719,3,24
0.677913,2,0.562113,0.628180,130.217659,1202.980441,0.308718,1.034881,0.016000,0.013475,0.175078,0.111791,42.700299,39.000000,216.292336,3,25
0.800000,3,0.468071,1.088409,123.137606,619.894085,0.336772,1.005772,0.014750,0.011399,0.449702,0.220880,25.966063,39.000000,250.702671,3,26
0.609308,2,0.781524,0.715089,151.710975,1321.798249,0.266039,1.029384,0.016000,0.014673,0.164205,0.114305,42.169738,39.000000,230.270857,3,27
0.800000,3,0.726552,1.236597,129.576213,547.900280,0.323046,0.996399,0.014750,0.011457,0.384372,0.250221,22.950393,39.000000,199.045854,3,28
0.800000,7,1.032960,1.309116,119.547779,497.637034,0.351764,0.991812,0.009750,0.009177,0.332705,0.275759,20.844971,39.000000,144.235118,3,29
0.800000,7,1.050000,1.239299,117.627427,512.336800,0.355922,0.996228,0.009750,0.009258,0.303109,0.267761,21.460714,39.000000,133.155410,3,30
best fit at iteration 3,133.155410
0.725623,7,0.851315,1.025374,120.860347,688.652667,0.341245,1.009759,0.009750,0.009796,0.292744,0.219059,26.164340,39.000000,162.081314,4,1
0.784999,2,0.502714,1.235511,140.128952,605.560159,0.298606,0.996468,0.016000,0.012825,0.493196,0.230562,24.889994,39.000000,299.750421,4,2
0.662322,6,0.598624,0.735307,123.384801,1028.667672,0.327878,1.028105,0.011000,0.010468,0.252875,0.149807,35.673246,39.000000,208.273922,4,3
0.633239,7,0.472252,0.985865,134.346974,941.675428,0.305638,1.012258,0.009750,0.010360,0.488303,0.178548,31.222490,39.000000,375.331125,4,4
0.692719,7,1.050000,1.088703,129.888695,721.224822,0.318565,1.005753,0.009750,0.010045,0.265867,0.219126,26.159324,39.000000,161.410278,4,5
0.800000,2,0.556658,0.558434,112.854363,964.627932,0.355606,1.039293,0.016000,0.012236,0.137884,0.123247,40.406240,39.000000,130.326413,4,6
0.734921,4,0.913486,0.500000,130.661062,1183.698396,0.305646,1.042989,0.013500,0.010877,0.077809,0.099245,45.549154,39.000000,152.602586,4,7
0.800000,7,0.891671,0.618863,110.489650,812.392267,0.364554,1.035471,0.009750,0.009265,0.122682,0.159788,34.029408,39.000000,110.489650,4,8
0.800000,5,0.372148,0.870625,108.142378,677.916758,0.378286,1.019547,0.012250,0.009984,0.447479,0.199465,28.396511,39.000000,242.605878,4,9
0.704161,7,1.050000,0.959660,125.661574,756.494537,0.326711,1.013915,0.009750,0.010015,0.218828,0.203666,27.891806,39.000000,138.338757,4,10
0.571124,2,0.618409,0.528939,154.247275,1860.202801,0.258496,1.041158,0.016000,0.014572,0.130494,0.062469,55.627504,39.000000,387.978740,4,11
0.800000,3,1.050000,1.055130,117.554302,583.625685,0.352030,1.007877,0.014750,0.011535,0.223396,0.234779,24.446856,39.000000,117.554302,4,12
0.697090,4,0.789079,1.400000,149.290622,648.851322,0.282729,0.986064,0.013500,0.011146,0.464456,0.242484,23.682793,39.000000,285.952480,4,13
0.665899,7,0.713846,0.500000,129.793683,1295.429083,0.307262,1.042989,0.009750,0.009963,0.124000,0.100815,45.166936,39.000000,182.946841,4,14
0.787999,7,1.050000,1.400000,124.284077,494.984244,0.340245,0.986064,0.009750,0.009113,0.361063,0.281300,20.422815,39.000000,159.524840,4,15
0.579021,7,0.752600,1.073854,148.948522,1033.355489,0.276885,1.006692,0.009750,0.010874,0.374613,0.177854,31.328723,39.000000,329.125156,4,16
0.691636,3,1.050000,1.362854,137.534998,636.103883,0.306135,0.988413,0.014750,0.012026,0.370125,0.249355,23.035851,39.000000,204.147640,4,17
0.685610,7,0.798886,0.500000,127.231245,1241.288654,0.313560,1.042989,0.009750,0.009812,0.107195,0.103367,44.560372,39.000000,150.891590,4,18
0.657013,2,0.300000,0.675696,121.459460,1247.140232,0.331797,1.031876,0.016000,0.013318,0.350691,0.110861,42.903021,39.000000,396.374800,4,19
0.800000,3,0.499741,0.782209,110.303511,748.266611,0.368864,1.025139,0.014750,0.011281,0.268230,0.177683,31.343318,39.000000,166.513593,4,20
0.756539,7,0.731913,0.500000,118.820140,1032.189576,0.336246,1.042989,0.009750,0.009416,0.113325,0.120703,40.887392,39.000000,124.570402,4,21
0.725623,5,0.389117,0.910733,118.265174,793.433289,0.346254,1.017010,0.012250,0.010455,0.470379,0.186091,30.145324,39.000000,298.936783,4,22
0.800000,3,1.040957,0.865747,115.791181,676.465905,0.353191,1.019855,0.014750,0.011532,0.160443,0.199956,28.335738,39.000000,115.791181,4,23
0.657013,7,0.368107,0.548130,133.001639,1228.699792,0.300684,1.039944,0.009750,0.010184,0.285240,0.113825,42.268649,39.000000,350.116195,4,24
0.597511,2,0.757456,0.957536,161.725882,1115.549063,0.253252,1.014050,0.016000,0.015116,0.273219,0.154456,34.900639,39.000000,286.078401,4,25
0.800000,7,0.468071,1.359570,124.773688,518.242013,0.338110,0.988621,0.009750,0.009044,0.689295,0.264696,21.708071,39.000000,324.923855,4,26
0.800000,6,0.916763,0.503378,115.470792,967.890385,0.346378,1.042775,0.011000,0.009462,0.082064,0.122515,40.542898,39.000000,120.038987,4,27
0.506813,3,0.726552,0.500000,169.774173,2353.316200,0.234119,1.042989,0.014750,0.013885,0.111821,0.047112,62.449194,39.000000,505.040184,4,28
0.800000,2,1.032960,0.500000,157.686543,1113.079030,0.253594,1.042989,0.016000,0.012954,0.055158,0.095041,46.624545,39.000000,188.514446,4,29
0.800000,7,0.992593,0.504191,116.232886,963.837685,0.344129,1.042724,0.009750,0.009150,0.076442,0.123426,40.373139,39.000000,120.325292,4,30
best fit at iteration 4,110.489650
0.725623,7,0.851315,0.545381,120.288877,1058.659973,0.332864,1.040118,0.009750,0.009605,0.110884,0.124261,40.222220,39.000000,124.058607,5,1
0.740498,6,1.050000,1.235511,128.624252,598.552854,0.325010,0.996468,0.011000,0.009992,0.305195,0.247445,23.207329,39.000000,158.643378,5,2
0.800000,6,0.598624,0.951600,109.224448,619.785233,0.376428,1.014425,0.011000,0.009638,0.338769,0.220919,25.961503,39.000000,167.490679,5,3
0.725401,5,0.554781,0.500000,117.495231,1127.392351,0.339838,1.042989,0.012250,0.010261,0.148757,0.111228,42.820498,39.000000,168.649624,5,4
0.579021,7,0.501075,1.088703,149.954307,1058.923757,0.275294,1.005753,0.009750,0.010786,0.538443,0.172786,32.103888,39.000000,481.695510,5,5
